"","Name","Address","Contact","Rank","Overall.Score","School Type","Year Founded","Religious Affiliation","Academic Calendar","Setting","2018 Endowment"
"39","University of California--Davis","Davis, CA 95616 "," (530) 752-1011",39,68,"Public, Coed","1905","None","Quarter","City","$1.4 billion"
"40","Boston University","Boston, MA 02215 "," (617) 353-2000",40,67,"Public","N/A","None","N/A","N/A","N/A"
"41","Brandeis University","Waltham, MA 02454 "," (781) 736-2000",40,67,"Private, Coed","1948","None","Semester","Suburban","$1.0 billion +"
"42","Case Western Reserve University","Cleveland, OH 44106 "," (216) 368-2000",40,67,"Private, Coed","1826","None","Semester","Urban","$1.9 billion"
"43","College of William and Mary","Williamsburg, VA 23187 "," (757) 221-4000",40,67,"Public, Coed","1693","None","Semester","Suburban","$935.5 million +"
"44","Northeastern University","Boston, MA 02115 "," (617) 373-2000",40,67,"Private, Coed","1898","None","Semester","Urban","$847.8 million"
"45","Tulane University","New Orleans, LA 70118 "," (504) 865-5000",40,67,"Private, Coed","1834","None","Semester","Urban","$1.4 billion"
"46","University of Wisconsin--Madison","Madison, WI 53706 "," (608) 262-1234",46,65,"Public, Coed","1848","None","Semester","City","$4.2 billion +"
"47","Villanova University","Villanova, PA 19085 "," (610) 519-4500",46,65,"Private, Coed","1842","Roman Catholic","Semester","Suburban","$711.5 million +"
"48","University of Illinois--Urbana-Champaign","Champaign, IL 61820 "," (217) 333-1000",48,64,"Public, Coed","1867","None","Semester","City","$1.9 billion"
"49","University of Texas--Austin","Austin, TX 78705 "," (512) 471-3434",48,64,"Public, Coed","1883","None","Semester","Urban","$4.0 billion +"
"50","Lehigh University","Bethlehem, PA 18015 "," (610) 758-3000",50,63,"Private, Coed","1865","None","Semester","City","$1.4 billion"
"51","Pepperdine University","Malibu, CA 90263 "," (310) 506-4000",50,63,"Private, Coed","1937","Churches of Christ","Semester","Suburban","$904.1 million +"
"52","Rensselaer Polytechnic Institute","Troy, NY 12180 "," (518) 276-6000",50,63,"Private, Coed","1824","None","Semester","Suburban","$715.1 million +"
"53","University of Georgia","Athens, GA 30602 "," (706) 542-3000",50,63,"Public, Coed","1785","None","Semester","City","$1.3 billion"
"54","Ohio State University--Columbus","Columbus, OH 43210 "," (614) 292-6446",54,62,"Public, Coed","1870","None","Semester","Urban","$5.2 billion"
"55","Santa Clara University","Santa Clara, CA 95053 "," (408) 554-4000",54,62,"Private, Coed","1851","Roman Catholic","Differs by program","City","$979.2 million +"
"56","Syracuse University","Syracuse, NY 13244 "," (315) 443-1870",54,62,"Private, Coed","1870","None","Semester","City","$1.3 billion +"
"57","Florida State University","Tallahassee, FL 32306 "," (850) 644-2525",57,61,"Public, Coed","1851","None","Semester","City","$681.4 million"
"58","Pennsylvania State University--University Park","University Park, PA 16802 "," (814) 865-4700",57,61,"Public, Coed","1855","None","Semester","City","$2.2 billion +"
"59","Purdue University--West Lafayette","West Lafayette, IN 47907 "," (765) 494-4600",57,61,"Public, Coed","1869","None","Semester","City","$2.3 billion +"
"60","University of Miami","Coral Gables, FL 33124 "," (305) 284-2211",57,61,"Private, Coed","1882","Reformed Church in America","Semester","Rural","$53.7 million +"
"61","University of Pittsburgh","Pittsburgh, PA 15260 "," (412) 624-4141",57,61,"Public, Coed","1787","None","Semester","Urban","$4.2 billion"
"62","Rutgers University--New Brunswick","Piscataway, NJ 08854 "," (732) 932-1766",62,60,"Public, Coed","1766","None","Semester","City","$1.0 billion +"
"63","University of Washington","Seattle, WA 98195 "," (206) 543-9686",62,60,"Public, Coed","1861","None","Quarter","Urban","$3.5 billion +"
"64","Loyola Marymount University","Los Angeles, CA 90045 "," (800) 568-4636",64,59,"Private, Coed","1911","Roman Catholic","Semester","Suburban","$477.6 million"
"65","Southern Methodist University","Dallas, TX 75275 "," (214) 768-2000",64,59,"Private, Coed","1911","United Methodist","Semester","Urban","$1.6 billion +"
"66","University of Connecticut","Storrs, CT 06269 "," (860) 486-2000",64,59,"Public, Coed","1881","None","Semester","Rural","$423.2 million"
"67","University of Maryland--College Park","College Park, MD 20742 "," (301) 405-1000",64,59,"Public, Coed","1856","None","Semester","Suburban","$620.0 million"
"68","University of Massachusetts--Amherst","Amherst, MA 01003 "," (413) 545-0111",64,59,"Public, Coed","1863","None","Semester","Suburban","$336.7 million"
"69","Worcester Polytechnic Institute","Worcester, MA 01609 "," (508) 831-5000",64,59,"Private, Coed","1865","None","Semester","City","$519.6 million +"
"70","Clemson University","Clemson, SC 29634 "," (864) 656-3311",70,58,"Public, Coed","1889","None","Semester","Suburban","$741.8 million +"
"71","George Washington University","Washington, DC 20052 "," (202) 994-1000",70,58,"Private, Coed","1821","None","Semester","Urban","$1.8 billion"
"72","Texas A&M University--College Station","College Station, TX 77843 "," (979) 845-3211",70,58,"Public, Coed","1876","None","Semester","City","$12.7 billion"
"73","University of Minnesota--Twin Cities","Minneapolis, MN 55455 "," (612) 625-5000",70,58,"Public, Coed","1851","None","Semester","Urban","$3.5 billion +"
"74","Fordham University","New York, NY 10023 "," (718) 817-1000",74,57,"Private, Coed","1841","Roman Catholic","Semester","Urban","$729.2 million"
"75","Stevens Institute of Technology","Hoboken, NJ 07030 "," (201) 216-5000",74,57,"Private, Coed","1870","None","Semester","City","$206.8 million +"
"76","Virginia Tech","Blacksburg, VA 24061 "," (540) 231-6000",74,57,"Public, Coed","1872","None","Semester","Rural","$1.1 billion +"
"77","American University","Washington, DC 20016 "," (202) 885-1000",77,56,"Private, Coed","1893","United Methodist","Semester","Suburban","$676.4 million +"
"78","Brigham Young University--Provo","Provo, UT 84602 "," (801) 422-1211",77,56,"Private, Coed","1875","Latter Day Saints (Mormon Church)","Semester","City","$194.4 million +"
"79","Baylor University","Waco, TX 76798 "," (254) 710-1011",79,55,"Private, Coed","1845"," Baptist","Semester","City","$1.3 billion +"
"80","Binghamton University--SUNY","Binghamton, NY 13902 "," (607) 777-2000",79,55,"Public, Coed","1946","None","Semester","Suburban","$110.7 million"
"81","Gonzaga University","Spokane, WA 99258 "," (509) 328-4220",79,55,"Private, Coed","1887","Roman Catholic","Semester","City","$286.9 million"
"82","Indiana University--Bloomington","Bloomington, IN 47405 "," (812) 855-4848",79,55,"Public, Coed","1820","None","Semester","City","$1.2 billion"
"83","University at Buffalo--SUNY","Buffalo, NY 14214 "," (716) 645-2000",79,55,"Public, Coed","1846","None","Semester","Suburban","$725.0 million"
"84","Colorado School of Mines","Golden, CO 80401 "," (303) 273-3000",84,54,"Public, Coed","1874","None","Semester","Suburban","$258.1 million +"
"85","Elon University","Elon, NC 27244 "," (336) 278-2000",84,54,"Private, Coed","1889","None","4-1-4","Suburban","$256.0 million"
"86","Marquette University","Milwaukee, WI 53201 "," (414) 288-7250",84,54,"Private, Coed","1881","Roman Catholic","Semester","Urban","$668.8 million"
"87","Michigan State University","East Lansing, MI 48824 "," (517) 355-1855",84,54,"Private, Coed","1887","None","Semester","City","$436.9 million"
"88","North Carolina State University--Raleigh","Raleigh, NC 27695 "," (919) 515-2011",84,54,"Public, Coed","1887","None","Semester","City","$1.3 billion"
"89","University of California--Santa Cruz","Santa Cruz, CA 95064 "," (831) 459-0111",84,54,"Public, Coed","1965","None","Quarter","Suburban","$199.5 million +"
"90","University of Iowa","Iowa City, IA 52242 "," (319) 335-3500",84,54,"Public, Coed","1847","None","Semester","City","$1.5 billion +"
"91","Clark University","Worcester, MA 01610 "," (508) 793-7711",91,53,"Private, Coed","1887","None","Semester","City","$436.9 million"
"92","Miami University--Oxford","Oxford, OH 45056 "," (513) 529-1809",91,53,"Public, Coed","1974","None","Semester","Urban","$44.6 million"
"93","Stony Brook University--SUNY","Stony Brook, NY 11794 "," (631) 689-6000",91,53,"Public, Coed","1957","None","Semester","Suburban","$245.0 million"
"94","University of California--Riverside","Riverside, CA 92521 "," (951) 827-1012",91,53,"Public, Coed","1954","None","Quarter","City","$247.8 million"
"95","University of Delaware","Newark, DE 19716 "," (302) 831-2000",91,53,"Public, Coed","1743","None","4-1-4","Suburban","$1.4 billion +"
"96","University of San Diego","San Diego, CA 92110 "," (619) 260-4600",91,53,"Private, Coed","1949","Roman Catholic","4-1-4","Urban","$530.0 million"
"97","Drexel University","Philadelphia, PA 19104 "," (215) 895-2000",97,52,"Private, Coed","1891","None","Quarter","Urban","$779.8 million"
"98","New Jersey Institute of Technology","Newark, NJ 07102 "," (973) 596-3000",97,52,"Public, Coed","1881","None","Semester","Urban","$113.6 million +"
"99","Saint Louis University","St. Louis, MO 63103 "," (800) 758-3678",97,52,"Private, Coed","1818","Roman Catholic","Semester","Urban","$1.2 billion +"
"100","Texas Christian University","Fort Worth, TX 76129 "," (817) 257-7000",97,52,"Private, Coed","1873"," Christian Church (Disciples of Christ)","Semester","Suburban","$1.6 billion"
"101","University of Denver","Denver, CO 80208 "," (303) 871-2000",97,52,"Private, Coed","1864","None","Quarter","City","$762.0 million"
"102","University of San Francisco","San Francisco, CA 94117 "," (415) 422-5555",97,52,"Private, Coed","1855","Roman Catholic","Semester","Urban","$397.7 million +"
"103","Yeshiva University","New York, NY 10033 "," (212) 960-5400",97,52,"Private, Coed","1886","None","Semester","Urban","$514.8 million +"
"104","Auburn University","Auburn, AL 36849 "," (334) 844-4000",104,51,"Public, Coed","1856","None","Semester","Suburban","$771.4 million +"
"105","Creighton University","Omaha, NE 68178 "," (402) 280-2700",104,51,"Private, Coed","1878","Roman Catholic","Semester","Urban","$568.8 million +"
"106","Howard University","Washington, DC 20059 "," (202) 806-6100",104,51,"Private, Coed","1867","None","Semester","Urban","$688.6 million"
"107","Loyola University Chicago","Chicago, IL 60660 "," (773) 274-3000",104,51,"Private, Coed","1870","Roman Catholic","Semester","City","$640.3 million +"
"108","Rochester Institute of Technology","Rochester, NY 14623 "," (585) 475-2411",104,51,"Private, Coed","1829","None","Semester","Suburban","$938.2 million"
"109","Temple University","Philadelphia, PA 19122 "," (215) 204-7000",104,51,"Public, Coed","1884","None","Semester","Urban","$684.0 million"
"110","University of California--Merced","Merced, CA 95343 "," (209) 228-4400",104,51,"Public, Coed","2005","None","Semester","Rural","$51.3 million"
"111","University of Colorado--Boulder","Boulder, CO 80309 "," (303) 492-1411",104,51,"Public, Coed","1876","None","Semester","City","$655.6 million"
"112","University of Oregon","Eugene, OR 97403 "," (541) 346-1000",104,51,"Public, Coed","1876","None","Quarter","City","$912.5 million +"
"113","University of South Carolina","Columbia, SC 29208 "," (803) 777-7000",104,51,"Public, Coed","1801","None","Semester","City","$641.5 million"
"114","University of South Florida","Tampa, FL 33620 "," (813) 974-2011",104,51,"Public, Coed","1956","None","Semester","Urban","$444.4 million +"
"115","University of Tennessee","Knoxville, TN 37996 "," (865) 974-1000",104,51,"Public, Coed","1794","None","Semester","Urban","$728.3 million"
"116","University of Utah","Salt Lake City, UT 84112 "," (801) 581-7200",104,51,"Public, Coed","1850","None","Semester","Urban","$1.1 billion"
"117","Arizona State University--Tempe","Tempe, AZ 85287 "," (855) 278-5080",117,50,"Public, Coed","1885","None","Semester","Urban","$554.8 million +"
"118","Clarkson University","Potsdam, NY 13699 "," (315) 268-6400",117,50,"Private, Coed","1896","None","Semester","Rural","$198.3 million +"
"119","Illinois Institute of Technology","Chicago, IL 60616 "," (312) 567-3000",117,50,"Private, Coed","1890","None","Semester","Urban","$248.6 million"
"120","University of Arizona","Tucson, AZ 85721 "," (520) 621-2211",117,50,"Public, Coed","1885","None","Semester","City","$959.6 million +"
"121","Iowa State University","Ames, IA 50011 "," (515) 294-4111",121,49,"Public, Coed","1858","None","Semester","City","$1.0 billion +"
"122","SUNY College of Environmental Science and Forestry","Syracuse, NY 13210 "," (315) 470-6500",121,49,"Public, Coed","1911","None","Semester","City","$37.6 million +"
"123","University of Tulsa","Tulsa, OK 74104 "," (918) 631-2000",121,49,"Private, Coed","1894","Presbyterian Church (USA)","Semester","City","$1.1 billion +"
"124","University of Vermont","Burlington, VT 05405 "," (802) 656-3131",121,49,"Public, Coed","1791","None","Semester","Suburban","$490.8 million"
"125","Chapman University","Orange, CA 92866 "," (714) 997-6815",125,48,"Private, Coed","1861"," Christian Church (Disciples of Christ)","4-1-4","Suburban","$394.1 million"
"126","DePaul University","Chicago, IL 60604 "," (312) 362-8000",125,48,"Private, Coed","1898","Roman Catholic","Quarter","Urban","$593.4 million +"
"127","Simmons University","Boston, MA 02115 "," (617) 521-2000",125,48,"Private, Women's college","1899","None","Semester","Urban","$194.9 million"
"128","University of New Hampshire","Durham, NH 03824 "," (603) 862-1234",125,48,"Public, Coed","1866","None","Semester","Suburban","$389.5 million"
"129","University of the Pacific","Stockton, CA 95211 "," (209) 946-2285",125,48,"Private, Coed","1851","None","Semester","City","$453.0 million"
"130","Drake University","Des Moines, IA 50311 "," (515) 271-3751",130,47,"Private, Coed","1881","None","Semester","City","$219.5 million"
"131","University of Kansas","Lawrence, KS 66045 "," (785) 864-2700",130,47,"Public, Coed","1865","None","Semester","City","$1.8 billion"
"132","Duquesne University","Pittsburgh, PA 15282 "," (412) 396-6000",132,46,"Private, Coed","1878","Roman Catholic","Semester","Urban","$370.4 million"
"133","Rutgers University--Newark","Newark, NJ 07102 "," (973) 353-1766",132,46,"Public, Coed","1908","None","Semester","Urban","$162.3 million"
"134","University of Dayton","Dayton, OH 45469 "," (937) 229-1000",132,46,"Private, Coed","1850","Roman Catholic","Semester","Suburban","$567.3 million +"
"135","University of Illinois--Chicago","Chicago, IL 60607 "," (312) 996-7000",132,46,"Public, Coed","1965","None","Semester","Urban","$382.6 million"
"136","University of Kentucky","Lexington, KY 40506 "," (859) 257-9000",132,46,"Public, Coed","1865","None","Semester","City","$1.3 billion +"
"137","University of La Verne","La Verne, CA 91750 "," (909) 593-3511",132,46,"Private, Coed","1891","None","4-1-4","Suburban","$103.7 million +"
"138","University of Oklahoma","Norman, OK 73019 "," (405) 325-0311",132,46,"Public, Coed","1890","None","Semester","City","$63.9 million +"
"139","The Catholic University of America","Washington, DC 20064 "," (202) 319-5000",139,45,"Private, Coed","1887","Roman Catholic","Semester","Urban","$350.5 million"
"140","Oregon State University","Corvallis, OR 97331 "," (541) 737-1000",139,45,"Public, Coed","1868","None","Quarter","City","$676.0 million +"
"141","Seattle University","Seattle, WA 98122 "," (206) 296-6000",139,45,"Private, Coed","1891","Roman Catholic","Quarter","Urban","$241.2 million"
"142","Seton Hall University","South Orange, NJ 07079 "," (973) 761-9000",139,45,"Private, Coed","1856","Roman Catholic","Semester","Suburban","$257.7 million +"
"143","University of Cincinnati","Cincinnati, OH 45221 "," (513) 556-6000",139,45,"Public, Coed","1819","None","Semester","Urban","$1.4 billion"
"144","University of Missouri","Columbia, MO 65211 "," (573) 882-2121",139,45,"Public, Coed","1839","None","Semester","City","$1.0 billion +"
"145","University of Nebraska--Lincoln","Lincoln, NE 68588 "," (402) 472-7211",139,45,"Public, Coed","1869","None","Semester","City","$1.0 billion +"
"146","University of St. Thomas","St. Paul, MN 55105 "," (651) 962-5000",139,45,"Private, Coed","1885","Roman Catholic","4-1-4","Urban","$436.2 million +"
"147","Michigan Technological University","Houghton, MI 49931 "," (906) 487-1885",147,44,"Public, Coed","1885","None","Semester","Rural","$115.3 million"
"148","Samford University","Birmingham, AL 35229 "," (205) 726-2011",147,44,"Private, Coed","1841"," Baptist","4-1-4","Suburban","$345.3 million +"
"149","San Diego State University","San Diego, CA 92182 "," (619) 594-5200",147,44,"Public, Coed","1897","None","Semester","Urban","N/A"
"150","University at Albany--SUNY","Albany, NY 12222 "," (518) 442-3300",147,44,"Public, Coed","1844","None","Semester","Suburban","$71.7 million +"
"151","University of St. Joseph","West Hartford, CT 06117 "," (860) 232-4571",147,44,"Private, Coed","1932","Roman Catholic","Semester","Suburban","$33.5 million +"
"152","University of Texas--Dallas","Richardson, TX 75080 "," (972) 883-2111",147,44,"Public, Coed","1969","None","Semester","Suburban","$531.4 million"
"153","George Mason University","Fairfax, VA 22030 "," (703) 993-1000",153,43,"Public, Coed","1972","None","Semester","Suburban","$84.9 million +"
"154","Louisiana State University--Baton Rouge","Baton Rouge, LA 70803 "," (225) 578-3202",153,43,"Public, Coed","1860","None","Semester","Urban","$558.3 million"
"155","Mercer University","Macon, GA 31207 "," (478) 301-2700",153,43,"Private, Coed","1833","None","Semester","City","$346.0 million"
"156","The New School","New York, NY 10011 "," (212) 229-5600",153,43,"Private, Coed","1919","None","Semester","Urban","$392.1 million +"
"157","Quinnipiac University","Hamden, CT 06518 "," (203) 582-8200",153,43,"Private, Coed","1929","Undenominational","Semester","Suburban","$526.6 million"
"158","Thomas Jefferson University","Philadelphia, PA 19107 "," (215) 955-6000",153,43,"Private, Coed","1824","None","Semester","Urban","$932.9 million"
"159","University of Alabama","Tuscaloosa, AL 35487 "," (205) 348-6010",153,43,"Public, Coed","1831","None","Semester","Suburban","$845.9 million +"
"160","University of Arkansas","Fayetteville, AR 72701 "," (479) 575-2000",153,43,"Public, Coed","1871","None","Semester","City","$1.2 billion"
"161","Valparaiso University","Valparaiso, IN 46383 "," (219) 464-5000",153,43,"Private, Coed","1859","None","Semester","City","$250.4 million +"
"162","Hofstra University","Hempstead, NY 11549 "," (516) 463-6600",162,42,"Private, Coed","1935","None","Semester","Suburban","$611.4 million +"
"163","Kansas State University","Manhattan, KS 66506 "," (785) 532-6011",162,42,"Public, Coed","1863","None","Semester","City","$539.1 million"
"164","University of Mississippi","University, MS 38677 "," (662) 915-7211",162,42,"Public, Coed","1848","None","Semester","Rural","$713.0 million +"
"165","Virginia Commonwealth University","Richmond, VA 23284 "," (804) 828-0100",162,42,"Public, Coed","1838","None","Semester","Urban","$2.0 billion"
"166","Adelphi University","Garden City, NY 11530 "," (800) 233-5744",166,41,"Private, Coed","1896","None","Semester","Suburban","$188.6 million"
"167","Belmont University","Nashville, TN 37212 "," (615) 460-6000",166,41,"Private, Coed","1890","Interdenominational","Semester","Urban","$221.0 million +"
"168","Colorado State University","Fort Collins, CO 80523 "," (970) 491-1101",166,41,"Public, Coed","1870","None","Semester","City","$371.2 million"
"169","Montclair State University","Montclair, NJ 07043 "," (973) 655-4000",166,41,"Public, Coed","1908","None","Semester","Suburban","$43.9 million +"
"170","Rowan University","Glassboro, NJ 08028 "," (856) 256-4000",166,41,"Public, Coed","1923","None","Semester","Suburban","$207.2 million"
"171","Rutgers University--Camden","Camden, NJ 08102 "," (856) 225-1766",166,41,"Public, Coed","1926","None","Semester","Urban","$56.5 million"
"172","St. John Fisher College","Rochester, NY 14618 "," (585) 385-8000",166,41,"Private, Coed","1948","Roman Catholic","Semester","Suburban","$93.8 million"
"173","University of Alabama--Birmingham","Birmingham, AL 35294 "," (205) 934-4011",166,41,"Public, Coed","1969","None","Semester","Urban","$524.7 million"
"174","University of Central Florida","Orlando, FL 32816 "," (407) 823-2000",166,41,"Public, Coed","1963","None","Semester","Suburban","$161.6 million"
"175","University of Hawaii--Manoa","Honolulu, HI 96822 "," (808) 956-8111",166,41,"Public, Coed","1907","None","Semester","Urban","$42.3 million"
"176","University of Maryland--Baltimore County","Baltimore, MD 21250 "," (410) 455-1000",166,41,"Public, Coed","1966","None","4-1-4","Suburban","$105.2 million +"
"177","University of Rhode Island","Kingston, RI 02881 "," (401) 874-1000",166,41,"Public, Coed","1892","None","Semester","Rural","$166.2 million"
"178","Washington State University","Pullman, WA 99164 "," (509) 335-3564",166,41,"Public, Coed","1890","None","Semester","Rural","$1.0 billion +"
"179","Gallaudet University","Washington, DC 20002 "," (202) 651-5000",179,40,"Private, Coed","1864","None","Semester","Urban","$183.2 million"
"180","Missouri University of Science and Technology","Rolla, MO 65409 "," (573) 341-4111",179,40,"Public, Coed","1870","None","Semester","Rural","$190.8 million +"
"181","University of Detroit Mercy","Detroit, MI 48221 "," (313) 993-1000",179,40,"Private, Coed","1877","Roman Catholic","Semester","Urban","$63.3 million"
"182","University of Idaho","Moscow, ID 83844 "," (208) 885-6111",179,40,"Public, Coed","1889","None","Semester","Rural","$281.0 million"
"183","University of Massachusetts--Lowell","Lowell, MA 01854 "," (978) 934-4000",179,40,"Public, Coed","1894","None","Semester","City","$91.7 million +"
"184","Biola University","La Mirada, CA 90639 "," (562) 903-6000",185,39,"Private, Coed","1908","Multiple Protestant Denomination","4-1-4","Suburban","$154.6 million"
"185","Chatham University","Pittsburgh, PA 15232 "," (412) 365-1100",185,39,"Private, Coed","1869","None","Semester","Urban","$80.5 million"
"186","Ohio University","Athens, OH 45701 "," (740) 593-1000",185,39,"Public, Coed","1804","None","Semester","N/A","$568.9 million +"
"187","Pacific University","Forest Grove, OR 97116 "," (877) 722-8648",185,39,"Private, Coed","1849","None","Semester","Suburban","$68.7 million +"
"188","Union University","Jackson, TN 38305 "," (731) 668-1818",185,39,"Private, Coed","1823","Southern Baptist","Semester","City","$42.8 million +"
"189","University of Houston","Houston, TX 77204 "," (713) 743-1000",185,39,"Public, Coed","1927","None","Semester","Urban","$842.5 million"
"190","University of North Carolina--Wilmington","Wilmington, NC 28403 "," (910) 962-3000",185,39,"Public, Coed","1947","None","Semester","Urban","$101.7 million +"
"191","Ball State University","Muncie, IN 47306 "," (765) 289-1241",192,38,"Public, Coed","1918","None","Semester","Suburban","$214.3 million"
"192","Misericordia University","Dallas, PA 18612 "," (866) 262-6363",192,38,"Private, Coed","1924","Roman Catholic","Semester","Suburban","$52.4 million"
"193","Oklahoma State University","Stillwater, OK 74078 "," (405) 744-5000",192,38,"Public, Coed","1890","None","Semester","City","$408.0 million +"
"194","Seattle Pacific University","Seattle, WA 98119 "," (206) 281-2000",192,38,"Private, Coed","1891","Free Methodist","Quarter","Urban","$110.1 million"
"195","University of Louisville","Louisville, KY 40292 "," (502) 852-5555",192,38,"Public, Coed","1798","Undenominational","Semester","Urban","$712.3 million"
"196","Bellarmine University","Louisville, KY 40205 "," (502) 272-8000",197,37,"Private, Coed","1950","Roman Catholic","Semester","Urban","$66.9 million"
"197","Illinois State University","Normal, IL 61790 "," (309) 438-2181",197,37,"Public, Coed","1857","None","Semester","Urban","$128.8 million +"
"198","Loyola University New Orleans","New Orleans, LA 70118 "," (504) 865-2011",197,37,"Private, Coed","1912","Roman Catholic","Semester","Urban","$228.2 million"
